test_data_id,node_count,computation_capacity,function_count,resource_demands,data_sizes,bandwidth_matrix,gpu_cost,memory_cost,bandwidth_cost,profit_per_user
11,8,"[[53,265],[86,344],[126,630],[75,225],[528,1584],[555,1665],[206,1030],[102,612]]",7,"[[5.8, 91], [7.0, 74], [8.4, 111], [10.1, 109], [12.1, 226], [14.5, 180], [17.4, 328]]","[51, 64, 80, 48, 40, 75]","[[0, 500, 500, 50, 200, 1000, 0, 200], [500, 0, 500, 200, 200, 0, 50, 1000], [500, 500, 0, 1000, 1000, 100, 0, 0], [50, 200, 1000, 0, 200, 100, 200, 50], [200, 200, 1000, 200, 0, 200, 500, 200], [1000, 0, 100, 100, 200, 0, 1000, 50], [0, 50, 0, 200, 500, 1000, 0, 200], [200, 1000, 0, 50, 200, 50, 200, 0]]",0.574,0.06,0.04,379
12,16,"[[259,518],[136,680],[540,1080],[223,1115],[82,328],[103,618],[57,228],[267,801],[240,1920],[293,586],[61,244],[75,375],[97,291],[52,208],[505,1515],[555,1665]]",6,"[[5.3, 75], [6.4, 114], [7.6, 105], [9.2, 173], [11.0, 219], [13.2, 231]]","[48, 32, 74, 22, 70]","[[0, 500, 50, 50, 200, 0, 50, 200, 0, 100, 0, 200, 0, 0, 0, 500], [500, 0, 500, 50, 1000, 100, 0, 0, 200, 50, 1000, 500, 0, 0, 50, 0], [50, 500, 0, 1000, 200, 50, 100, 200, 0, 0, 0, 1000, 0, 50, 200, 0], [50, 50, 1000, 0, 200, 200, 0, 0, 100, 200, 0, 200, 0, 1000, 50, 500], [200, 1000, 200, 200, 0, 1000, 0, 1000, 0, 0, 500, 0, 0, 200, 0, 200], [0, 100, 50, 200, 1000, 0, 1000, 0, 200, 0, 0, 500, 0, 500, 200, 0], [50, 0, 100, 0, 0, 1000, 0, 500, 0, 500, 0, 200, 50, 500, 0, 500], [200, 0, 200, 0, 1000, 0, 500, 0, 200, 0, 500, 0, 1000, 1000, 0, 0], [0, 200, 0, 100, 0, 200, 0, 200, 0, 200, 500, 500, 100, 1000, 200, 50], [100, 50, 0, 200, 0, 0, 500, 0, 200, 0, 500, 0, 1000, 0, 500, 0], [0, 1000, 0, 0, 500, 0, 0, 500, 500, 500, 0, 1000, 100, 1000, 0, 500], [200, 500, 1000, 200, 0, 500, 200, 0, 500, 0, 1000, 0, 500, 0, 0, 0], [0, 0, 0, 0, 0, 0, 50, 1000, 100, 1000, 100, 500, 0, 500, 1000, 100], [0, 0, 50, 1000, 200, 500, 500, 1000, 1000, 0, 1000, 0, 500, 0, 1000, 50], [0, 50, 200, 50, 0, 200, 0, 0, 200, 500, 0, 0, 1000, 1000, 0, 500], [500, 0, 0, 500, 200, 0, 500, 0, 50, 0, 500, 0, 100, 50, 500, 0]]",0.234,0.08,0.05,345
13,17,"[[362,724],[96,384],[114,912],[249,1992],[263,789],[194,1164],[285,570],[138,828],[155,775],[511,1533],[79,316],[75,375],[407,814],[116,696],[438,876],[237,1659],[124,992]]",6,"[[6.1, 95], [7.3, 82], [8.8, 106], [10.5, 207], [12.6, 155], [15.1, 284]]","[21, 92, 65, 24, 89]","[[0, 1000, 1000, 0, 0, 0, 0, 1000, 1000, 100, 500, 50, 100, 50, 200, 50, 500], [1000, 0, 1000, 500, 0, 500, 50, 100, 100, 500, 0, 50, 200, 0, 500, 0, 0], [1000, 1000, 0, 500, 500, 0, 0, 0, 200, 1000, 1000, 0, 50, 50, 0, 50, 100], [0, 500, 500, 0, 200, 1000, 0, 0, 500, 200, 0, 0, 100, 500, 200, 0, 0], [0, 0, 500, 200, 0, 500, 1000, 1000, 50, 100, 500, 200, 0, 200, 0, 1000, 100], [0, 500, 0, 1000, 500, 0, 500, 1000, 200, 500, 1000, 0, 1000, 0, 100, 50, 50], [0, 50, 0, 0, 1000, 500, 0, 1000, 1000, 50, 1000, 100, 1000, 0, 500, 0, 100], [1000, 100, 0, 0, 1000, 1000, 1000, 0, 1000, 500, 50, 500, 500, 100, 1000, 0, 0], [1000, 100, 200, 500, 50, 200, 1000, 1000, 0, 1000, 0, 200, 1000, 200, 1000, 200, 0], [100, 500, 1000, 200, 100, 500, 50, 500, 1000, 0, 200, 50, 100, 50, 0, 0, 100], [500, 0, 1000, 0, 500, 1000, 1000, 50, 0, 200, 0, 200, 200, 0, 1000, 200, 50], [50, 50, 0, 0, 200, 0, 100, 500, 200, 50, 200, 0, 500, 1000, 1000, 200, 100], [100, 200, 50, 100, 0, 1000, 1000, 500, 1000, 100, 200, 500, 0, 200, 200, 0, 100], [50, 0, 50, 500, 200, 0, 0, 100, 200, 50, 0, 1000, 200, 0, 200, 1000, 200], [200, 500, 0, 200, 0, 100, 500, 1000, 1000, 0, 1000, 1000, 200, 200, 0, 200, 0], [50, 0, 50, 0, 1000, 50, 0, 0, 200, 0, 200, 200, 0, 1000, 200, 0, 200], [500, 0, 100, 0, 100, 50, 100, 0, 0, 100, 50, 100, 100, 200, 0, 200, 0]]",0.293,0.1,0.07,439
14,7,"[[55,330],[248,1736],[186,930],[118,944],[286,572],[567,1134],[158,1106]]",6,"[[5.9, 81], [7.1, 131], [8.6, 135], [10.3, 195], [12.3, 192], [14.8, 157]]","[44, 36, 98, 36, 85]","[[0, 500, 200, 50, 0, 500, 1000], [500, 0, 1000, 500, 1000, 200, 200], [200, 1000, 0, 1000, 500, 1000, 200], [50, 500, 1000, 0, 200, 500, 200], [0, 1000, 500, 200, 0, 1000, 200], [500, 200, 1000, 500, 1000, 0, 200], [1000, 200, 200, 200, 200, 200, 0]]",0.278,0.12,0.02,410
15,7,"[[100,600],[54,270],[111,666],[86,516],[85,255],[297,594],[86,344]]",5,"[[5.6, 60], [6.7, 85], [8.0, 106], [9.6, 179], [11.6, 219]]","[100, 77, 53, 27]","[[0, 200, 50, 100, 200, 50, 500], [200, 0, 200, 50, 500, 100, 500], [50, 200, 0, 200, 0, 500, 0], [100, 50, 200, 0, 1000, 50, 0], [200, 500, 0, 1000, 0, 500, 50], [50, 100, 500, 50, 500, 0, 1000], [500, 500, 0, 0, 50, 1000, 0]]",0.454,0.12,0.03,289
16,10,"[[173,865],[63,252],[172,1032],[58,174],[84,252],[56,336],[88,528],[548,1096],[372,1116],[423,846]]",7,"[[6.3, 77], [7.6, 104], [9.1, 126], [10.9, 211], [13.1, 178], [15.7, 173], [18.8, 320]]","[59, 51, 31, 46, 36, 68]","[[0, 200, 100, 50, 500, 0, 1000, 100, 0, 500], [200, 0, 200, 1000, 200, 0, 1000, 200, 200, 50], [100, 200, 0, 1000, 1000, 0, 1000, 0, 0, 100], [50, 1000, 1000, 0, 500, 100, 500, 0, 200, 200], [500, 200, 1000, 500, 0, 500, 1000, 200, 0, 50], [0, 0, 0, 100, 500, 0, 200, 0, 1000, 0], [1000, 1000, 1000, 500, 1000, 200, 0, 500, 50, 500], [100, 200, 0, 0, 200, 0, 500, 0, 1000, 0], [0, 200, 0, 200, 0, 1000, 50, 1000, 0, 500], [500, 50, 100, 200, 50, 0, 500, 0, 500, 0]]",0.562,0.14,0.07,373
17,8,"[[81,324],[257,514],[335,670],[76,456],[98,588],[68,204],[117,819],[421,842]]",6,"[[14.6, 157], [17.5, 219], [21.1, 283], [25.3, 265], [30.3, 556], [36.4, 698]]","[24, 87, 98, 44, 31]","[[0, 500, 50, 0, 200, 0, 1000, 500], [500, 0, 200, 0, 500, 1000, 1000, 1000], [50, 200, 0, 500, 100, 50, 500, 500], [0, 0, 500, 0, 1000, 0, 50, 100], [200, 500, 100, 1000, 0, 500, 1000, 1000], [0, 1000, 50, 0, 500, 0, 200, 0], [1000, 1000, 500, 50, 1000, 200, 0, 1000], [500, 1000, 500, 100, 1000, 0, 1000, 0]]",0.228,0.08,0.02,268
18,15,"[[95,380],[76,228],[167,1169],[70,210],[54,324],[232,1392],[154,924],[59,177],[123,738],[241,1928],[600,1200],[600,1800],[506,1012],[271,813],[199,995]]",6,"[[14.1, 281], [16.9, 216], [20.3, 344], [24.4, 301], [29.3, 504], [35.1, 357]]","[59, 72, 49, 76, 38]","[[0, 1000, 0, 0, 100, 1000, 0, 100, 50, 1000, 0, 50, 500, 0, 1000], [1000, 0, 200, 50, 200, 0, 200, 0, 0, 100, 100, 50, 0, 0, 1000], [0, 200, 0, 1000, 100, 0, 0, 0, 0, 500, 0, 100, 0, 50, 1000], [0, 50, 1000, 0, 200, 500, 50, 0, 1000, 100, 500, 1000, 0, 1000, 500], [100, 200, 100, 200, 0, 500, 500, 0, 1000, 200, 0, 500, 100, 200, 0], [1000, 0, 0, 500, 500, 0, 200, 200, 0, 0, 0, 0, 1000, 500, 500], [0, 200, 0, 50, 500, 200, 0, 200, 1000, 1000, 0, 1000, 0, 0, 1000], [100, 0, 0, 0, 0, 200, 200, 0, 200, 50, 200, 100, 1000, 200, 500], [50, 0, 0, 1000, 1000, 0, 1000, 200, 0, 200, 0, 0, 0, 100, 0], [1000, 100, 500, 100, 200, 0, 1000, 50, 200, 0, 200, 1000, 500, 500, 0], [0, 100, 0, 500, 0, 0, 0, 200, 0, 200, 0, 200, 50, 0, 500], [50, 50, 100, 1000, 500, 0, 1000, 100, 0, 1000, 200, 0, 200, 200, 200], [500, 0, 0, 0, 100, 1000, 0, 1000, 0, 500, 50, 200, 0, 1000, 0], [0, 0, 50, 1000, 200, 500, 0, 200, 100, 500, 0, 200, 1000, 0, 1000], [1000, 1000, 1000, 500, 0, 500, 1000, 500, 0, 0, 500, 200, 0, 1000, 0]]",0.132,0.11,0.04,500
19,9,"[[412,1236],[229,1374],[85,510],[57,171],[69,276],[195,975],[74,222],[59,236],[135,675]]",7,"[[11.3, 189], [13.6, 160], [16.3, 179], [19.6, 200], [23.5, 321], [28.2, 425], [33.8, 617]]","[25, 22, 57, 87, 84, 49]","[[0, 500, 0, 0, 0, 200, 0, 0, 200], [500, 0, 500, 1000, 500, 0, 50, 1000, 200], [0, 500, 0, 500, 200, 0, 1000, 100, 200], [0, 1000, 500, 0, 1000, 50, 0, 50, 0], [0, 500, 200, 1000, 0, 200, 0, 200, 200], [200, 0, 0, 50, 200, 0, 200, 1000, 200], [0, 50, 1000, 0, 0, 200, 0, 1000, 500], [0, 1000, 100, 50, 200, 1000, 1000, 0, 1000], [200, 200, 200, 0, 200, 200, 500, 1000, 0]]",0.529,0.12,0.06,378
20,13,"[[476,952],[98,588],[64,320],[240,1200],[78,312],[165,1155],[129,903],[538,1614],[214,1712],[100,400],[143,1001],[348,696],[69,414]]",5,"[[7.8, 137], [9.3, 151], [11.2, 165], [13.5, 254], [16.2, 302]]","[35, 89, 55, 100]","[[0, 500, 50, 0, 0, 1000, 0, 0, 1000, 100, 500, 100, 200], [500, 0, 200, 0, 0, 500, 50, 200, 0, 50, 0, 50, 100], [50, 200, 0, 200, 500, 200, 100, 1000, 1000, 200, 0, 50, 0], [0, 0, 200, 0, 1000, 100, 0, 1000, 500, 1000, 200, 0, 0], [0, 0, 500, 1000, 0, 200, 200, 50, 500, 0, 0, 200, 50], [1000, 500, 200, 100, 200, 0, 200, 200, 0, 0, 0, 500, 50], [0, 50, 100, 0, 200, 200, 0, 200, 50, 50, 0, 500, 0], [0, 200, 1000, 1000, 50, 200, 200, 0, 1000, 100, 50, 200, 0], [1000, 0, 1000, 500, 500, 0, 50, 1000, 0, 500, 0, 1000, 200], [100, 50, 200, 1000, 0, 0, 50, 100, 500, 0, 200, 0, 0], [500, 0, 0, 200, 0, 0, 0, 50, 0, 200, 0, 500, 1000], [100, 50, 50, 0, 200, 500, 500, 200, 1000, 0, 500, 0, 200], [200, 100, 0, 0, 50, 50, 0, 0, 200, 0, 1000, 200, 0]]",0.543,0.13,0.03,349
21,17,"[[138,1104],[160,1280],[227,1589],[393,1179],[242,1210],[207,1656],[62,310],[71,355],[169,845],[78,312],[530,1060],[342,684],[263,789],[110,550],[147,1029],[266,532],[72,216]]",7,"[[7.3, 76], [8.7, 93], [10.5, 188], [12.6, 197], [15.1, 226], [18.1, 327], [21.7, 291]]","[80, 23, 60, 29, 58, 80]","[[0, 500, 500, 100, 200, 200, 100, 50, 0, 0, 0, 0, 200, 1000, 50, 0, 200], [500, 0, 1000, 0, 500, 50, 100, 50, 1000, 0, 200, 200, 0, 0, 500, 1000, 0], [500, 1000, 0, 1000, 200, 0, 1000, 100, 0, 0, 1000, 500, 200, 0, 100, 50, 500], [100, 0, 1000, 0, 1000, 200, 100, 0, 500, 0, 0, 50, 0, 100, 200, 0, 200], [200, 500, 200, 1000, 0, 200, 100, 500, 1000, 0, 100, 100, 200, 0, 500, 0, 0], [200, 50, 0, 200, 200, 0, 500, 100, 100, 1000, 200, 0, 0, 0, 0, 100, 50], [100, 100, 1000, 100, 100, 500, 0, 1000, 200, 0, 1000, 50, 0, 0, 500, 1000, 100], [50, 50, 100, 0, 500, 100, 1000, 0, 500, 500, 200, 0, 500, 100, 200, 500, 0], [0, 1000, 0, 500, 1000, 100, 200, 500, 0, 1000, 200, 200, 500, 0, 200, 0, 500], [0, 0, 0, 0, 0, 1000, 0, 500, 1000, 0, 500, 0, 100, 0, 100, 0, 0], [0, 200, 1000, 0, 100, 200, 1000, 200, 200, 500, 0, 200, 50, 500, 200, 50, 100], [0, 200, 500, 50, 100, 0, 50, 0, 200, 0, 200, 0, 1000, 0, 1000, 50, 500], [200, 0, 200, 0, 200, 0, 0, 500, 500, 100, 50, 1000, 0, 200, 0, 100, 100], [1000, 0, 0, 100, 0, 0, 0, 100, 0, 0, 500, 0, 200, 0, 1000, 0, 50], [50, 500, 100, 200, 500, 0, 500, 200, 200, 100, 200, 1000, 0, 1000, 0, 200, 1000], [0, 1000, 50, 0, 0, 100, 1000, 500, 0, 0, 50, 50, 100, 0, 200, 0, 500], [200, 0, 500, 200, 0, 50, 100, 0, 500, 0, 100, 500, 100, 50, 1000, 500, 0]]",0.105,0.14,0.06,301
22,8,"[[55,165],[150,750],[100,400],[81,324],[175,875],[373,746],[142,994],[416,832]]",7,"[[6.4, 81], [7.7, 148], [9.2, 166], [11.0, 177], [13.2, 224], [15.9, 248], [19.1, 361]]","[57, 21, 63, 56, 52, 85]","[[0, 500, 0, 50, 500, 50, 0, 500], [500, 0, 1000, 0, 500, 500, 0, 500], [0, 1000, 0, 200, 0, 1000, 0, 0], [50, 0, 200, 0, 200, 50, 500, 500], [500, 500, 0, 200, 0, 500, 500, 100], [50, 500, 1000, 50, 500, 0, 1000, 1000], [0, 0, 0, 500, 500, 1000, 0, 500], [500, 500, 0, 500, 100, 1000, 500, 0]]",0.117,0.06,0.04,296
23,10,"[[62,372],[80,480],[227,1816],[463,926],[81,243],[590,1770],[128,896],[231,1848],[62,372],[110,660]]",7,"[[8.9, 113], [10.7, 154], [12.9, 133], [15.4, 206], [18.5, 293], [22.2, 307], [26.7, 405]]","[57, 51, 39, 96, 24, 21]","[[0, 500, 0, 0, 0, 0, 0, 0, 500, 500], [500, 0, 1000, 500, 100, 200, 200, 50, 100, 0], [0, 1000, 0, 200, 0, 1000, 1000, 1000, 50, 0], [0, 500, 200, 0, 200, 200, 50, 0, 500, 1000], [0, 100, 0, 200, 0, 1000, 200, 0, 50, 500], [0, 200, 1000, 200, 1000, 0, 500, 50, 1000, 0], [0, 200, 1000, 50, 200, 500, 0, 200, 1000, 1000], [0, 50, 1000, 0, 0, 50, 200, 0, 200, 200], [500, 100, 50, 500, 50, 1000, 1000, 200, 0, 1000], [500, 0, 0, 1000, 500, 0, 1000, 200, 1000, 0]]",0.253,0.15,0.05,354
24,9,"[[51,306],[70,210],[76,304],[513,1026],[413,1239],[95,475],[214,1712],[383,766],[68,340]]",7,"[[10.6, 131], [12.7, 250], [15.2, 190], [18.3, 197], [21.9, 360], [26.3, 350], [31.6, 456]]","[47, 59, 32, 35, 72, 94]","[[0, 1000, 200, 0, 50, 1000, 0, 0, 1000], [1000, 0, 200, 200, 0, 1000, 50, 100, 500], [200, 200, 0, 1000, 50, 1000, 200, 200, 0], [0, 200, 1000, 0, 1000, 1000, 50, 200, 0], [50, 0, 50, 1000, 0, 500, 200, 100, 50], [1000, 1000, 1000, 1000, 500, 0, 1000, 0, 0], [0, 50, 200, 50, 200, 1000, 0, 200, 1000], [0, 100, 200, 200, 100, 0, 200, 0, 200], [1000, 500, 0, 0, 50, 0, 1000, 200, 0]]",0.529,0.08,0.06,318
25,18,"[[162,1134],[600,1800],[231,1848],[499,1497],[242,1210],[209,1672],[59,295],[206,1648],[98,490],[248,1984],[154,770],[292,584],[78,312],[76,304],[62,310],[458,1374],[278,834],[222,1110]]",7,"[[6.4, 116], [7.7, 101], [9.2, 148], [11.0, 114], [13.2, 219], [15.9, 169], [19.0, 195]]","[97, 95, 64, 69, 34, 95]","[[0, 500, 0, 0, 0, 200, 50, 500, 0, 0, 1000, 0, 0, 0, 0, 0, 0, 1000], [500, 0, 1000, 0, 50, 200, 0, 0, 1000, 100, 1000, 0, 0, 1000, 50, 0, 500, 500], [0, 1000, 0, 1000, 50, 1000, 100, 500, 500, 200, 0, 200, 0, 0, 50, 0, 100, 50], [0, 0, 1000, 0, 200, 0, 1000, 0, 1000, 500, 1000, 1000, 1000, 200, 0, 100, 0, 0], [0, 50, 50, 200, 0, 200, 500, 0, 0, 1000, 200, 0, 200, 0, 0, 200, 0, 500], [200, 200, 1000, 0, 200, 0, 1000, 1000, 200, 50, 500, 200, 1000, 0, 100, 0, 0, 0], [50, 0, 100, 1000, 500, 1000, 0, 1000, 200, 1000, 0, 0, 0, 100, 500, 200, 500, 100], [500, 0, 500, 0, 0, 1000, 1000, 0, 1000, 0, 200, 100, 0, 1000, 200, 0, 1000, 100], [0, 1000, 500, 1000, 0, 200, 200, 1000, 0, 1000, 100, 100, 50, 200, 200, 50, 500, 0], [0, 100, 200, 500, 1000, 50, 1000, 0, 1000, 0, 1000, 200, 100, 100, 200, 0, 50, 100], [1000, 1000, 0, 1000, 200, 500, 0, 200, 100, 1000, 0, 1000, 100, 500, 200, 1000, 1000, 0], [0, 0, 200, 1000, 0, 200, 0, 100, 100, 200, 1000, 0, 1000, 1000, 100, 0, 0, 200], [0, 0, 0, 1000, 200, 1000, 0, 0, 50, 100, 100, 1000, 0, 200, 0, 100, 500, 100], [0, 1000, 0, 200, 0, 0, 100, 1000, 200, 100, 500, 1000, 200, 0, 1000, 500, 0, 100], [0, 50, 50, 0, 0, 100, 500, 200, 200, 200, 200, 100, 0, 1000, 0, 200, 100, 0], [0, 0, 0, 100, 200, 0, 200, 0, 50, 0, 1000, 0, 100, 500, 200, 0, 1000, 0], [0, 500, 100, 0, 0, 0, 500, 1000, 500, 50, 1000, 0, 500, 0, 100, 1000, 0, 500], [1000, 500, 50, 0, 500, 0, 100, 100, 0, 100, 0, 200, 100, 100, 0, 0, 500, 0]]",0.289,0.07,0.02,225
